Year,Month,MKT,ME,I/A,ROE
1967,1,8.16,6.80,-3.03,1.99
1967,2,0.72,1.75,-0.06,3.57
1967,3,3.97,1.81,-1.89,1.66
1967,4,3.83,-0.82,-3.05,1.01
1967,5,-4.24,2.91,2.44,0.48
1967,6,2.42,6.19,-2.22,0.25
1967,7,4.60,2.98,2.38,-0.74
1967,8,-0.95,0.28,1.83,-0.72
1967,9,3.11,1.80,-0.42,0.71
1967,10,-3.11,0.76,-2.47,3.27
1967,11,0.45,0.10,-2.61,0.72
1967,12,3.01,4.50,0.28,0.86
1968,1,-4.03,5.42,4.74,-2.82
1968,2,-3.75,-1.52,2.70,-0.36
1968,3,0.11,-2.22,-1.06,1.68
1968,4,8.99,5.28,-2.56,3.72
1968,5,2.24,6.57,-2.20,1.77
1968,6,0.71,-0.42,2.45,-0.45
1968,7,-2.68,-1.21,2.75,-2.13
1968,8,1.36,2.25,0.60,-0.63
1968,9,4.03,1.50,-0.56,-3.44
1968,10,0.46,-0.65,2.71,0.58
1968,11,5.40,2.76,-1.37,-0.43
1968,12,-3.81,3.12,2.37,-0.84
1969,1,-1.17,-0.36,1.01,-0.09
1969,2,-5.83,-3.89,0.82,1.08
1969,3,2.57,-0.36,0.33,1.86
1969,4,1.57,-0.22,0.49,1.94
1969,5,-0.02,0.41,1.54,-0.05
1969,6,-7.25,-4.68,-0.52,3.43
1969,7,-7.07,-2.91,2.04,2.10
1969,8,4.56,1.08,-2.52,0.48
1969,9,-2.84,0.70,0.09,2.03
1969,10,4.99,2.78,-1.53,-1.15
1969,11,-3.77,-2.01,0.16,2.69
1969,12,-2.55,-3.76,-0.73,3.42
1970,1,-7.90,3.60,3.51,-1.11
1970,2,5.05,-2.57,1.75,-2.17
1970,3,-1.03,-1.18,3.34,-0.90
1970,4,-11.06,-4.56,5.12,0.35
1970,5,-6.99,-3.27,3.17,0.28
1970,6,-5.66,-1.84,3.73,2.66
1970,7,6.93,-0.38,2.62,-0.82
1970,8,4.50,0.65,-0.86,-3.32
1970,9,4.25,7.21,-4.49,-1.44
1970,10,-2.32,-3.17,3.07,5.39
1970,11,4.60,-3.66,0.83,0.76
1970,12,5.69,2.67,0.14,-1.22
1971,1,4.83,6.94,0.05,-4.09
1971,2,1.36,1.50,0.71,2.51
1971,3,4.19,2.65,-1.91,2.03
1971,4,3.05,-0.29,1.33,-1.21
1971,5,-3.95,-1.44,0.87,1.47
1971,6,-0.04,-0.80,-0.86,4.24
1971,7,-4.46,0.21,2.40,2.38
1971,8,3.81,-2.25,1.48,-3.32
1971,9,-0.86,0.36,0.14,2.89
1971,10,-4.45,-1.26,-0.91,1.82
1971,11,-0.48,-2.65,-0.29,1.67
1971,12,8.81,2.75,-2.16,-1.51
1972,1,2.55,6.70,0.15,-6.51
1972,2,2.87,0.49,1.97,1.05
1972,3,0.61,-1.03,1.85,2.09
1972,4,0.25,0.21,0.30,0.74
1972,5,1.34,-2.52,-1.55,2.08
1972,6,-2.37,0.42,0.03,3.57
1972,7,-0.73,-1.96,-0.38,2.08
1972,8,3.30,-3.54,3.58,-1.50
1972,9,-1.12,-1.07,-1.10,2.08
1972,10,0.48,-3.08,-0.46,-0.42
1972,11,4.60,-0.95,2.70,-4.01
1972,12,0.71,-1.73,-1.44,2.98
1973,1,-3.19,-2.45,0.46,-0.54
1973,2,-4.86,-4.52,0.15,-0.96
1973,3,-1.26,-1.68,0.58,-1.92
1973,4,-5.68,-2.94,3.18,-0.42
1973,5,-2.96,-5.70,-0.35,1.59
1973,6,-1.40,-1.25,0.43,-0.22
1973,7,5.04,7.95,-5.76,1.19
1973,8,-3.65,-1.94,1.69,1.42
1973,9,4.72,5.72,2.19,-1.27
1973,10,-0.73,-1.19,2.61,0.50
1973,11,-12.62,-7.38,1.98,-1.11
1973,12,0.45,-4.56,2.52,3.68
1974,1,-0.19,11.52,2.10,-4.76
1974,2,-0.35,-0.48,2.12,-1.04
1974,3,-2.90,1.84,-0.06,1.84
1974,4,-5.39,-0.46,2.37,2.22
1974,5,-4.92,-4.08,-0.32,2.25
1974,6,-2.98,0.24,1.60,1.59
1974,7,-7.76,3.55,4.39,2.54
1974,8,-9.37,2.22,3.12,2.94
1974,9,-11.77,2.07,4.86,-2.34
1974,10,16.03,-6.22,-1.78,8.54
1974,11,-4.62,-0.86,2.61,1.78
1974,12,-3.40,-3.86,2.17,0.50
1975,1,13.62,12.42,-0.60,-11.71
1975,2,5.41,-1.41,-1.72,3.52
1975,3,2.62,3.30,-0.60,-1.72
1975,4,4.20,-1.34,-0.03,3.28
1975,5,5.03,3.45,-0.27,0.14
1975,6,4.73,1.59,0.26,-1.64
1975,7,-6.52,2.96,1.51,-1.44
1975,8,-2.84,-3.21,-0.18,0.71
1975,9,-4.36,0.65,1.36,1.67
1975,10,5.07,-4.56,3.10,2.58
1975,11,2.71,-0.46,1.54,0.69
1975,12,-1.60,0.27,-0.06,-2.28
1976,1,12.16,6.80,1.47,-2.62
1976,2,0.39,6.94,2.21,-3.74
1976,3,2.25,-0.46,1.76,2.38
1976,4,-1.48,-0.49,-0.98,-0.12
1976,5,-1.35,-1.21,-1.06,0.47
1976,6,4.00,0.01,1.35,-0.07
1976,7,-1.05,1.15,0.92,0.76
1976,8,-0.62,-2.04,-0.59,-0.01
1976,9,2.06,-0.23,-1.42,1.11
1976,10,-2.45,0.71,-1.12,0.31
1976,11,0.09,3.49,-0.27,-0.54
1976,12,5.80,3.30,1.81,-1.09
1977,1,-3.99,6.04,1.00,-2.15
1977,2,-1.93,1.07,0.12,1.25
1977,3,-1.30,1.46,-0.16,0.30
1977,4,0.08,1.22,1.23,0.36
1977,5,-1.46,1.51,0.21,1.76
1977,6,4.77,3.10,-0.72,2.31
1977,7,-1.67,1.00,1.03,1.73
1977,8,-1.83,-0.26,-0.92,1.39
1977,9,-0.28,1.41,-0.02,1.42
1977,10,-4.42,1.43,-0.51,-0.90
1977,11,4.05,4.55,1.19,2.46
1977,12,0.35,1.50,0.04,1.23
1978,1,-6.06,2.30,0.99,-1.74
1978,2,-1.42,4.07,1.32,0.02
1978,3,2.90,3.39,2.53,0.00
1978,4,7.71,-0.13,-0.36,5.51
1978,5,1.79,3.72,0.86,0.52
1978,6,-1.61,1.43,0.43,1.52
1978,7,5.12,0.18,0.28,1.83
1978,8,3.68,4.72,1.18,1.93
1978,9,-1.29,-0.74,0.25,-3.55
1978,10,-11.85,-10.96,0.58,-1.17
1978,11,2.68,4.08,-1.03,1.27
1978,12,1.03,0.48,-1.09,2.67
1979,1,4.16,4.32,1.65,-1.28
1979,2,-3.41,0.42,-0.49,-2.37
1979,3,5.67,3.85,0.77,2.32
1979,4,0.00,2.35,0.83,1.82
1979,5,-2.17,0.53,-0.03,-0.66
1979,6,3.90,0.83,-0.89,-0.97
1979,7,0.66,1.26,0.70,0.60
1979,8,5.72,1.70,-0.48,2.78
1979,9,-0.63,-0.09,-0.14,0.71
1979,10,-8.23,-3.15,0.02,0.98
1979,11,5.37,2.14,-2.50,2.24
1979,12,1.80,3.97,-1.12,1.21
1980,1,5.76,0.77,1.39,1.73
1980,2,-0.96,-1.55,1.71,2.28
1980,3,-13.22,-6.55,0.78,-1.13
1980,4,3.94,1.35,1.26,0.21
1980,5,5.22,1.46,-1.40,-0.93
1980,6,3.14,1.33,-1.11,3.10
1980,7,6.42,3.65,-2.29,-0.55
1980,8,1.76,4.73,0.66,2.51
1980,9,2.08,0.84,-0.50,5.18
1980,10,1.12,1.16,0.49,4.01
1980,11,9.61,-5.06,-1.91,9.07
1980,12,-4.86,1.06,0.97,-1.27
1981,1,-5.00,3.69,2.40,-4.91
1981,2,0.48,0.00,1.89,0.77
1981,3,3.30,3.46,-1.74,-1.31
1981,4,-2.20,4.20,2.37,1.32
1981,5,0.29,2.47,-0.52,-0.06
1981,6,-2.54,-0.77,2.70,0.04
1981,7,-1.50,-1.60,-1.99,3.15
1981,8,-6.91,-1.44,1.26,0.77
1981,9,-7.66,-1.71,3.54,0.59
1981,10,4.85,1.97,-1.03,4.79
1981,11,3.48,-1.40,0.64,0.52
1981,12,-3.68,1.27,1.88,-0.52
1982,1,-3.35,-0.31,1.94,-1.46
1982,2,-6.03,0.46,4.77,0.28
1982,3,-2.12,0.69,1.82,-1.66
1982,4,3.20,0.50,1.20,1.94
1982,5,-3.78,-0.38,-0.47,-0.52
1982,6,-3.46,1.14,2.74,0.13
1982,7,-3.07,1.73,2.12,2.82
1982,8,11.07,-3.40,-0.52,-1.24
1982,9,1.16,3.16,0.98,3.63
1982,10,11.32,0.87,-1.08,-0.78
1982,11,4.47,4.57,1.47,3.21
1982,12,0.82,-0.81,0.43,-0.76
1983,1,3.50,2.13,-0.73,-2.52
1983,2,2.40,3.86,1.60,3.23
1983,3,2.83,1.68,2.78,1.32
1983,4,6.73,-0.38,2.10,0.58
1983,5,0.56,6.08,-1.42,-3.51
1983,6,3.12,2.11,-1.14,1.62
1983,7,-3.85,0.68,2.79,1.20
1983,8,-0.49,-4.70,1.21,-0.42
1983,9,0.85,0.42,1.38,3.30
1983,10,-3.55,-3.86,2.69,1.69
1983,11,2.24,2.05,1.10,-0.25
1983,12,-1.75,-1.19,1.36,-1.58
1984,1,-2.11,-0.96,2.32,-3.71
1984,2,-4.64,-1.77,0.93,-0.75
1984,3,0.61,-0.17,0.73,-0.60
1984,4,-0.56,-0.93,1.03,2.12
1984,5,-6.02,-0.39,-1.48,1.81
1984,6,1.59,0.47,-2.23,1.83
1984,7,-2.94,-2.31,-1.30,3.66
1984,8,10.47,0.23,-0.46,0.93
1984,9,-0.79,-0.73,2.61,0.18
1984,10,-0.98,-1.38,-0.37,2.71
1984,11,-1.80,-1.09,2.24,0.81
1984,12,1.67,-0.39,-0.82,2.54
1985,1,7.92,3.43,-3.43,0.94
1985,2,1.09,0.78,1.08,1.55
1985,3,-0.79,-2.06,3.31,0.92
1985,4,-0.98,-0.69,1.39,0.12
1985,5,4.97,-1.58,-1.22,3.20
1985,6,1.15,-0.53,-0.20,2.91
1985,7,-0.64,2.38,-0.83,-1.88
1985,8,-1.06,-0.16,2.08,0.44
1985,9,-4.59,-1.87,1.96,1.16
1985,10,3.84,-0.21,0.26,2.21
1985,11,6.31,-0.24,-1.66,1.79
1985,12,3.69,0.32,-1.47,1.72
1986,1,0.50,1.02,-0.67,1.73
1986,2,6.72,-0.45,-1.46,2.25
1986,3,4.79,0.63,1.06,2.06
